p,d,q,aic,bic
0,0,0,-39360.72877851284,-39347.557580064684
0,0,1,-39358.82904352591,-39339.07224585367
1,0,0,-39358.82586609115,-39339.06906841891
2,0,0,-39358.60604740458,-39332.26365050826
0,0,2,-39358.58348987303,-39332.241092976714
2,0,1,-39356.763539592066,-39323.835543471665
1,0,1,-39356.75522608013,-39330.41282918381
1,0,2,-39356.726250254054,-39323.79825413365
2,0,2,-39354.75621501931,-39315.24261967483
1,1,2,-39342.70543456829,-39316.36378484672
0,1,1,-39339.766620499606,-39326.595795638816
0,1,2,-39337.91636329735,-39318.16012600617
1,1,1,-39337.87236811539,-39318.116130824215
2,1,2,-39335.191524934904,-39302.264462782936
2,1,1,-39322.96426189083,-39296.62261216926
2,1,0,-37791.91823702784,-37772.161999736665
1,1,0,-37110.4863646095,-37097.315539748706
0,1,0,-35622.37606668445,-35615.79065425405
