pair,model,period,n_obs,rmse_return,mae_return,rmse_price,mae_price,directional_accuracy,n_direction_ties_excluded
EUR/USD,naive,val,1027,0.0049757745127446,0.0036635705629882,0.0054118356355718,0.0040348588120739,,1027
EUR/USD,naive,test,688,0.0042119040502959,0.0029804325781516,0.0046874151155104,0.0033287790697674,,688
EUR/USD,"ARIMA(0, 0, 0)",val,1027,0.0049761589056474,0.0036642091940994,0.0054122300607427,0.0040355298372136,0.4916584887144259,8
EUR/USD,"ARIMA(0, 0, 0)",test,688,0.0042121910142149,0.0029807157325754,0.0046877171779063,0.0033290650951453,0.5102639296187683,6
EUR/USD,XGBoost,val,1027,0.0049758235872565,0.0036635933038547,0.0054118826846736,0.0040348784315515,0.5122669283611384,8
EUR/USD,XGBoost,test,688,0.0042119275150447,0.0029803883117549,0.0046874403617147,0.0033287244599573,0.5161290322580645,6
EUR/USD,LSTM,val,1007,0.0050029807452831,0.0036972934550288,0.0054411648215489,0.0040712270428904,0.4944944944944945,8
EUR/USD,LSTM,test,668,0.0042823437727389,0.0030320795591839,0.004765266167959,0.003386469308569,0.5060422960725075,6
GBP/USD,naive,val,1027,0.0061089754241946,0.0044309802742307,0.0075923044367421,0.0056041869522881,,1027
GBP/USD,naive,test,688,0.004247455509833,0.0031140977041159,0.0055477931397024,0.0040754360465115,,688
GBP/USD,"ARIMA(2, 0, 2)",val,1027,0.006117555291657,0.0044508815329264,0.0076042309299531,0.0056296167444686,0.4823874755381604,5
GBP/USD,"ARIMA(2, 0, 2)",test,688,0.0042606399100976,0.0031226274695529,0.0055653350220182,0.0040865790890988,0.5285505124450952,5
GBP/USD,XGBoost,val,1027,0.0061091811777837,0.0044317637176179,0.0075923800569494,0.005605059095416,0.4941291585127201,5
GBP/USD,XGBoost,test,688,0.0042485676290347,0.0031161995308363,0.0055491480077057,0.0040780076288177,0.4787701317715959,5
GBP/USD,LSTM,val,1007,0.0061511956452799,0.0044810750263686,0.0076433882635795,0.005665500178342,0.4930139720558882,5
GBP/USD,LSTM,test,668,0.0043147242546311,0.0031777670481754,0.0056392604234374,0.0041622799075474,0.4615384615384615,5
USD/JPY,naive,val,1027,0.0061045347485966,0.0040600558926097,0.7890075483747931,0.5095131450827625,,1027
USD/JPY,naive,test,688,0.0061488235584205,0.0042795094092898,0.9276572454933304,0.6481686046511591,,688
USD/JPY,"ARIMA(0, 0, 0)",val,1027,0.0061047797670472,0.0040595536792798,0.7890414549463095,0.5094203886902035,0.5054080629301868,10
USD/JPY,"ARIMA(0, 0, 0)",test,688,0.0061487316429064,0.0042745383270846,0.9276655834114268,0.6474095462457039,0.5691411935953421,1
USD/JPY,XGBoost,val,1027,0.0060963618682756,0.0040542175632948,0.7876352465273375,0.5087374780231664,0.5457227138643068,10
USD/JPY,XGBoost,test,688,0.0061533622208987,0.0042798862337152,0.9282873534630128,0.6482260221213902,0.462882096069869,1
USD/JPY,LSTM,val,1007,0.0061508297700604,0.0040845695491188,0.7953049430790384,0.5128913342321959,0.5476429287863591,10
USD/JPY,LSTM,test,668,0.0062098805453196,0.0042455226504277,0.938074446811972,0.6437512972432899,0.5622188905547226,1
