p,d,q,aic,bic
0,0,0,-39360.72877851291,-39347.55758006475
0,0,1,-39358.82904352591,-39339.07224585367
1,0,0,-39358.82586609115,-39339.06906841891
2,0,0,-39358.606047404595,-39332.26365050828
0,0,2,-39358.58348987303,-39332.241092976714
2,0,1,-39356.76353959206,-39323.83554347166
1,0,1,-39356.75522608014,-39330.41282918382
1,0,2,-39356.726250254054,-39323.79825413365
2,0,2,-39354.75621501931,-39315.24261967483
1,1,2,-39343.23387087605,-39316.89222115448
0,1,1,-39339.76739376399,-39326.5965689032
0,1,2,-39337.9094815931,-39318.153244301924
1,1,1,-39337.87340430173,-39318.117167010554
2,1,2,-39334.469987262484,-39301.542925110516
2,1,1,-39303.91291841055,-39277.571268688975
2,1,0,-37791.91823702784,-37772.161999736665
1,1,0,-37110.4863646095,-37097.315539748706
0,1,0,-35622.37606668445,-35615.79065425405
