p,d,q,aic,bic
2,0,2,-39845.27548314269,-39805.7618877982
1,0,2,-39844.322442799865,-39811.394446679464
2,0,0,-39844.06143628528,-39817.71903938896
0,0,2,-39843.44436940046,-39817.10197250414
0,0,1,-39841.54818666185,-39821.79138898961
1,0,1,-39840.95012755509,-39814.60773065877
1,0,0,-39840.8933158014,-39821.136518129155
2,0,1,-39840.30812898105,-39807.38013286065
0,0,0,-39831.74659725248,-39818.57539880432
2,1,1,-39819.47844551248,-39793.13679579091
0,1,2,-39818.38351703202,-39798.627279740846
1,1,1,-39817.70763484774,-39797.951397556564
1,1,2,-39812.41974264937,-39786.0780929278
0,1,1,-39809.06994231124,-39795.89911745045
2,1,2,-39736.13524962058,-39703.20818746861
2,1,0,-38214.17416790743,-38194.417930616255
1,1,0,-37641.642919430335,-37628.472094569544
0,1,0,-36365.18554040672,-36358.60012797632
