max_depth,min_child_weight,subsample,colsample_bytree,learning_rate,best_iteration,train_rmse,val_rmse,train_val_gap
3,20,0.8,0.7,0.01,0,0.00586193209832509,0.00610918116548738,0.0002472490671622902
3,20,0.8,0.8,0.01,0,0.00586193209832509,0.00610918116548738,0.0002472490671622902
3,10,0.8,0.7,0.01,0,0.00586193209832509,0.00610918116548738,0.0002472490671622902
3,10,0.8,0.8,0.01,0,0.00586193209832509,0.00610918116548738,0.0002472490671622902
2,10,0.8,0.7,0.01,0,0.0058622628416187,0.00610930804778122,0.00024704520616251977
2,10,0.8,0.8,0.01,0,0.0058622628416187,0.00610930804778122,0.00024704520616251977
2,20,0.8,0.8,0.01,0,0.0058622628416187,0.00610930804778122,0.00024704520616251977
2,20,0.8,0.7,0.01,0,0.0058622628416187,0.00610930804778122,0.00024704520616251977
2,10,0.7,0.7,0.01,0,0.00586231687025898,0.00610933900899349,0.0002470221387345104
2,10,0.7,0.8,0.01,0,0.00586231687025898,0.00610933900899349,0.0002470221387345104
2,20,0.7,0.7,0.01,0,0.00586231687025898,0.00610933900899349,0.0002470221387345104
2,20,0.7,0.8,0.01,0,0.00586231687025898,0.00610933900899349,0.0002470221387345104
3,10,0.7,0.7,0.01,0,0.00586203010529803,0.00610934157671896,0.00024731147142093013
3,10,0.7,0.8,0.01,0,0.00586203010529803,0.00610934157671896,0.00024731147142093013
3,20,0.7,0.7,0.01,0,0.00586203010529803,0.00610934157671896,0.00024731147142093013
3,20,0.7,0.8,0.01,0,0.00586203010529803,0.00610934157671896,0.00024731147142093013
3,20,0.8,0.7,0.05,0,0.00585848465635665,0.00611061572309513,0.0002521310667384794
3,10,0.8,0.7,0.05,0,0.00585848465635665,0.00611061572309513,0.0002521310667384794
3,10,0.8,0.8,0.05,0,0.00585848465635665,0.00611061572309513,0.0002521310667384794
3,20,0.8,0.8,0.05,0,0.00585848465635665,0.00611061572309513,0.0002521310667384794
2,20,0.8,0.7,0.05,0,0.00586011365391503,0.00611119127600035,0.0002510776220853205
2,10,0.8,0.8,0.05,0,0.00586011365391503,0.00611119127600035,0.0002510776220853205
2,10,0.8,0.7,0.05,0,0.00586011365391503,0.00611119127600035,0.0002510776220853205
2,20,0.8,0.8,0.05,0,0.00586011365391503,0.00611119127600035,0.0002510776220853205
2,20,0.7,0.8,0.05,0,0.0058603757197501,0.00611133178406621,0.0002509560643161098
2,20,0.7,0.7,0.05,0,0.0058603757197501,0.00611133178406621,0.0002509560643161098
2,10,0.7,0.8,0.05,0,0.0058603757197501,0.00611133178406621,0.0002509560643161098
2,10,0.7,0.7,0.05,0,0.0058603757197501,0.00611133178406621,0.0002509560643161098
3,10,0.7,0.7,0.05,0,0.00585896430530446,0.00611139613122148,0.0002524318259170197
3,20,0.7,0.7,0.05,0,0.00585896430530446,0.00611139613122148,0.0002524318259170197
3,20,0.7,0.8,0.05,0,0.00585896430530446,0.00611139613122148,0.0002524318259170197
3,10,0.7,0.8,0.05,0,0.00585896430530446,0.00611139613122148,0.0002524318259170197
