p,d,q,aic,bic
0,0,0,-39209.50358033455,-39196.332381886394
0,0,1,-39207.698173539866,-39187.941375867624
1,0,0,-39207.69779793739,-39187.94100026515
0,0,2,-39206.02594137406,-39179.68354447774
2,0,0,-39206.023939047096,-39179.68154215078
1,0,1,-39205.50735928613,-39179.16496238981
1,0,2,-39203.964428542306,-39171.036432421904
2,0,1,-39203.50738112841,-39170.57938500801
2,0,2,-39201.50734373399,-39161.993748389505
0,1,1,-39188.01172119494,-39174.84089633415
0,1,2,-39186.27399044082,-39166.517753149645
1,1,1,-39186.268925062395,-39166.51268777122
2,1,1,-39182.63182702808,-39156.29017730651
2,1,2,-39179.59894396728,-39146.67188181531
1,1,2,-38750.795894856405,-38724.45424513483
2,1,0,-37621.59370855885,-37601.837471267674
1,1,0,-36999.442568863196,-36986.271744002406
0,1,0,-35469.316021329316,-35462.73060889892
