max_depth,min_child_weight,subsample,colsample_bytree,learning_rate,best_iteration,train_rmse,val_rmse,train_val_gap
2,10,0.7,0.8,0.01,313,0.00615969651192359,0.00609636186243072,-6.333464949287004e-05
3,10,0.8,0.7,0.01,140,0.00616567493834659,0.0060966867266065,-6.898821174008973e-05
2,20,0.7,0.8,0.01,315,0.00616267934544612,0.00609768644173108,-6.499290371504013e-05
3,10,0.8,0.8,0.01,133,0.00616483407546974,0.00609780706770908,-6.702700776066006e-05
2,10,0.7,0.7,0.01,259,0.00616981871299515,0.0060979162295443,-7.190248345085009e-05
3,10,0.7,0.8,0.05,23,0.00616962634727938,0.00609794125247589,-7.168509480348986e-05
3,10,0.7,0.8,0.01,203,0.00614396242431899,0.00609795141249877,-4.60110118202196e-05
2,10,0.7,0.8,0.05,23,0.00618970614074231,0.00609855161605113,-9.11545246911798e-05
2,10,0.8,0.8,0.01,140,0.00618498042491493,0.00609891675969049,-8.606366522444057e-05
2,10,0.8,0.7,0.01,140,0.00618639145632313,0.00609899245121367,-8.739900510945989e-05
3,10,0.7,0.7,0.01,184,0.00615403466286862,0.00609912632956173,-5.4908333306890114e-05
3,20,0.8,0.7,0.01,158,0.00616565488851656,0.00609930368287366,-6.635120564290036e-05
2,20,0.8,0.8,0.01,257,0.00617096132065312,0.00609964553887281,-7.131578178031037e-05
3,10,0.8,0.8,0.05,26,0.00616779681263219,0.00609978049493254,-6.801631769965018e-05
2,20,0.7,0.7,0.01,259,0.00617203406663355,0.00610001908440531,-7.201498222824017e-05
3,20,0.8,0.8,0.01,133,0.00616980917849273,0.00610011339406117,-6.969578443156033e-05
3,20,0.7,0.8,0.01,203,0.00614930713212491,0.00610022220958092,-4.908492254398957e-05
3,20,0.8,0.8,0.05,25,0.0061737102396609,0.00610042834191967,-7.328189774123e-05
3,20,0.7,0.7,0.01,182,0.00615897659091328,0.0061005390846538,-5.843750625948024e-05
2,20,0.8,0.7,0.01,140,0.00618888351328819,0.00610055299729451,-8.833051599367939e-05
3,20,0.7,0.8,0.05,23,0.00617426204761351,0.00610067928063937,-7.358276697414044e-05
3,10,0.8,0.7,0.05,23,0.00617518638729949,0.00610096835671742,-7.421803058206989e-05
2,10,0.8,0.8,0.05,25,0.00618748575939986,0.00610101338608176,-8.647237331810016e-05
2,20,0.7,0.8,0.05,23,0.00619198740061376,0.00610158589562073,-9.04015049930304e-05
2,10,0.7,0.7,0.05,84,0.00615096056549972,0.00610164475642425,-4.931580907547011e-05
3,10,0.7,0.7,0.05,28,0.00616676921794748,0.00610193303961848,-6.483617832900041e-05
3,20,0.8,0.7,0.05,19,0.0061839025073509,0.00610280545715033,-8.109705020056986e-05
2,20,0.7,0.7,0.05,84,0.00615412590440702,0.00610302438287933,-5.1101521527689535e-05
2,20,0.8,0.8,0.05,25,0.00619069227416239,0.00610319365520849,-8.749861895390038e-05
2,10,0.8,0.7,0.05,22,0.00619200867548507,0.00610348697555403,-8.852169993104047e-05
3,20,0.7,0.7,0.05,4,0.00620683800469325,0.00610459899564399,-0.0001022390090492601
2,20,0.8,0.7,0.05,26,0.00619194858648631,0.00610477936034988,-8.716922613642968e-05
